tabela,linhas_local,linhas_dry_run,diferenca,status
access_profile,20,20,0,IGUAL
agenda_legado_bloqueio,0,0,0,IGUAL
agenda_legado_evento,14044,14044,0,IGUAL
anamnese_perguntas,229,229,0,IGUAL
anamnese_questionarios,12,12,0,IGUAL
anamnese_respostas,2,2,0,IGUAL
assinaturas,0,0,0,IGUAL
brana_schema_versions,0,0,0,IGUAL
calendario_faturamento_odonto,0,0,0,IGUAL
categoria_financeira,355,355,0,IGUAL
cenario,2,2,0,IGUAL
clinicas,4,4,0,IGUAL
contato,107,107,0,IGUAL
controle_protetico,0,0,0,IGUAL
convenio_odonto,40,40,0,IGUAL
doenca_cid,57944,57944,0,IGUAL
email_codes,25,25,0,IGUAL
etiqueta_modelo,33,33,0,IGUAL
etiqueta_padrao,8,8,0,IGUAL
grupo_financeiro,53,53,0,IGUAL
indice_cotacao,1,1,0,IGUAL
indice_financeiro,16,16,0,IGUAL
item_auxiliar,4906,4906,0,IGUAL
lancamento,2099,2099,0,IGUAL
lista_material,5,5,0,IGUAL
material,989,989,0,IGUAL
medicamento,135,135,0,IGUAL
modelos_documento,187,187,0,IGUAL
motivo_agendamento,28,28,0,IGUAL
odontograma_arcada_slots,0,0,0,IGUAL
odontograma_dentes,0,0,0,IGUAL
odontograma_faces,0,0,0,IGUAL
odontograma_intervencao_status,3,3,0,IGUAL
odontograma_intervencoes,0,0,0,IGUAL
pacientes,1629,1629,0,IGUAL
plano_odonto,40,40,0,IGUAL
planos,0,0,0,IGUAL
plataforma_assinaturas,4,4,0,IGUAL
plataforma_auditoria,48,48,0,IGUAL
plataforma_cobrancas,0,0,0,IGUAL
prestador,0,0,0,IGUAL
prestador_comissao,0,0,0,IGUAL
prestador_comissao_odonto,0,0,0,IGUAL
prestador_credenciamento,0,0,0,IGUAL
prestador_credenciamento_odonto,0,0,0,IGUAL
prestador_odonto,10,10,0,IGUAL
procedimento,4457,4457,0,IGUAL
procedimento_fase,4,4,0,IGUAL
procedimento_generico,1780,1780,0,IGUAL
procedimento_generico_fase,4,4,0,IGUAL
procedimento_generico_material,1746,1746,0,IGUAL
procedimento_material,6284,6284,0,IGUAL
procedimento_tabela,27,27,0,IGUAL
protetico,5,5,0,IGUAL
quadro_avisos,0,0,0,IGUAL
relatorio_config,0,0,0,IGUAL
restricao_terapeutica,0,0,0,IGUAL
servico_protetico,248,248,0,IGUAL
simbolo_grafico_catalogo,559,559,0,IGUAL
tiss_tipo_atendimento,5,5,0,IGUAL
tiss_tipo_tabela,21,21,0,IGUAL
tratamento,2,2,0,IGUAL
unidade_atendimento,6,6,0,IGUAL
usuario_perfil_acesso,0,0,0,IGUAL
usuarios,14,14,0,IGUAL
