codigo,easy_nome,easy_especialidade,easy_simbolo,easy_preco,easy_forma_cobranca,easy_observacoes,easy_status,brana_nome,brana_especialidade,brana_simbolo,brana_preco,brana_forma_cobranca,brana_observacoes,brana_status,classificacao,divergencias,acao_futura_sugerida,motivo,nivel_seguranca
1,Alveoloplastia ou alveolotomia - (até 3 elementos),6,57,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
2,Alveoloplastica ou alveolotomia - (por sextante),6,57,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
3,Biópsia,6,45,600.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
4,Cirurgia de Hipertrofia de Lábio,6,45,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
5,Cirurgia para Cisto de Desenvolvimento,6,45,550.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
6,Cirurgia para Microstomia,6,45,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
7,Cirurgia para Osteoma e Odontoma,6,45,572.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
8,Cirurgia para torus palatino unilateral,6,45,374.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
9,Ciurgia para torus mandibular bilateral,6,45,693.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
10,Ciurgia para tórus mandibular unilateral,6,45,440.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
11,Cirurgia para torus palatino bilateral,6,45,693.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
12,Correção de bridas musculares,6,26,385.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
13,Drenagem de abcesso por via intra ou extra-oral,6,45,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
14,Cirurgia exploratória,6,45,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
15,Excisão de glândula parótida,6,45,605.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
16,Excisão de glândula sublingual,6,45,605.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
17,Excisão de glândula submandibular,6,45,605.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
18,Excisão de Mucocele,6,45,800.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
19,Excisão de rânula,6,45,440.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
20,Excisão de tumores odontogênicos até 3 cm,6,45,748.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
21,Exodontia de decíduos,6,13,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
22,Exodontia de incluso,6,13,800.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
23,Exodontia de incluso impactado,6,13,800.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
24,Exodontia de raiz residual,6,13,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
25,Exodontia de raiz residual com retalho,6,13,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
26,Exodontia de semi-incluso,6,13,450.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
27,Exodontia + Enxerto + membrana,6,13,1100.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
28,Exodontia simples - (Anteriores),6,13,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
29,Exodontia simples - (Posteriores),6,13,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
30,Fraturas alvédio-dentárias - redução cruenta,6,45,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
31,Marzupialização de cisto,6,45,440.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
32,Reconstrução parcial do lábio traumatizado,6,45,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
