"fonte","tabela_origem","id_origem","questionario_id_origem","questionario_nome","ordem","texto","tipo","obrigatoria","opcoes","status","created_at","updated_at","observacoes"
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","1","1","Principal                               ","1","Está bem de saúde no momento?","3","","","","","","tipo_resposta_origem=1; mensagem_alerta=A saúde do paciente não está boa."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","2","1","Principal                               ","2","Quando fez seu último tratamento médico?","1","","","","","","tipo_resposta_origem=3; mensagem_alerta="
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","3","1","Principal                               ","3","Está atualmente em tratamento médico?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=O paciente está em tratamento médico."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","4","1","Principal                               ","4","Apresenta alergia a  medicamentos? Quais?","2","","","","","","tipo_resposta_origem=2; mensagem_alerta=Alergia a medicamento(s)."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","5","1","Principal                               ","5","Possui alguma doença grave? Qual?","2","","","","","","tipo_resposta_origem=2; mensagem_alerta=Paciente apresenta doença grave."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","6","1","Principal                               ","6","Está tomando algum medicamento? Qual?","2","","","","","","tipo_resposta_origem=2; mensagem_alerta=Paciente tomando medicamento."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","7","1","Principal                               ","7","Quando fez seu último tratamento dentário?","1","","","","","","tipo_resposta_origem=3; mensagem_alerta="
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","8","1","Principal                               ","8","Sente dificuldade em abrir a boca","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Dificuldade em abrir a boca."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","9","1","Principal                               ","9","Range os dentes à noite?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Bruxômano(a)."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","10","1","Principal                               ","10","Aperta os dentes costumeiramente?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Apertamento dental."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","11","1","Principal                               ","11","Alguma complicação durante tratamento odontológico?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Apresentou complicações em tratamento odontológico"
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","12","1","Principal                               ","12","Tem sinusite?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Paciente com Sinusite."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","13","1","Principal                               ","13","Tem perdido peso nos últimos meses?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Paciente tem perdido peso."
"EDS70 (eds70.bak / eds70dat.mdf)","ANAMNESE_PERG","14","1","Principal                               ","14","Tem ganho peso nos últimos meses?","2","","","","","","tipo_resposta_origem=1; mensagem_alerta=Paciente tem ganho peso."
